principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,factoresprecio,numerofactor
bromhexina y guayacolato de glicerilo,Solución o suspensión oral,"guayacolato de glicerilo 2 g + bromhexina 0,08 g",ml,Singripax Tos,Hic,Medio,2
bromhexina y guayacolato de glicerilo,Solución o suspensión oral,bromhexina 80 mg + guayacolato de glicerilo 100 mg,ml,Neumuc,Farmacomercial,Medio,2
bromhexina y guayacolato de glicerilo,Solución o suspensión oral,"bromhexina 0,04 g + guayacolato de glicerilo 2 g",ml,Tussyl Jarabe,Incobra,Medio,2
bromhexina y guayacolato de glicerilo,Solución o suspensión oral,bromhexina 80 mg + guayacolato de glicerilo 2000 mg,ml,Bro-Gu,Sagpharma,Medio,2
bromhexina y guayacolato de glicerilo,Solución o suspensión oral,bromhexina 80 mg + guayacolato de glicerilo 100 mg,ml,Neumuc,Farmacomercial,Medio,2
bromuro de glicoperronio,Polvos para Inhalación,bromuro de glicoperronio 50 mcg,mcg,Seebri Breezhaler,Novartis,Medio,2
bromuro de glicoperronio,Polvos para Inhalación,bromuro de glicoperronio 50 mcg,mcg,Seebri Breezhaler,Novartis,Medio,2
bromuro de ipatropio,Solución o suspensión para inhalación,bromuro de ipratropio 25 mg,ml,Atrovent,Boehringer,Medio,2
bromuro de ipatropio,Solución o suspensión para inhalación,bromuro de ipratropio 25 mg,ml,Atrovent,Boehringer,Medio,2
bromuro de ipratropio,Solución o suspensión para inhalación,"bromuro de ipratropio 0,4 mg",ml,Aspromio Inhalador,Chalver,Medio,2
bromuro de ipratropio,Solución o suspensión para inhalación,"bromuro de ipratropio 0,0626 g",ml,Bria,Synthesis,Medio,2
bromuro de ipratropio,Solución o suspensión para inhalación,"bromuro de ipratropio 0,4 mg",ml,Aspromio Inhalador,Chalver,Medio,2
bromuro de ipratropio,Solución o suspensión para inhalación,"bromuro de ipratropio 0,0626 g",ml,Bria,Synthesis,Medio,2
bromuro de ipratropio y fenoterol,Solución o suspensión para inhalación,"bromuro de ipratropio 0,25 mg + fenoterol 0,5 mg",ml,Berodual,Boehringer,Medio,2
bromuro de ipratropio y fenoterol,Solución o suspensión para inhalación,"bromuro de ipratropio 0,25 mg + fenoterol 0,5 mg",ml,Berodual,Boehringer,Medio,2
bromuro de otilonio,Tableta o cápsula,bromuro de otilonio 40 mg,mg,Kolitrox F,Ruecam,Bajo,1
bromuro de otilonio,Tableta o cápsula,bromuro de otilonio 40 mg,mg,Spasmomen,Menarini,Alto,3
bromuro de otilonio,Tableta o cápsula,bromuro de otilonio 40 mg,mg,Spasmomen,Menarini,Medio,2
bromuro de pinaverio,Tableta o cápsula,bromuro de pinaverio 100 mg,mg,Pynazer,Tecnofarma,Bajo,1
bromuro de pinaverio,Tableta o cápsula,bromuro de pinaverio 100 mg,mg,Bromupin,Adexa,Medio,2
bromuro de pinaverio,Tableta o cápsula,bromuro de pinaverio 100 mg,mg,Dicetel,Lafrancol,Alto,3
bromuro de pinaverio,Tableta o cápsula,bromuro de pinaverio 100 mg,mg,Pynazer,Tecnofarma,Bajo,1
bromuro de pinaverio,Tableta o cápsula,bromuro de pinaverio 100 mg,mg,Dicetel,Lafrancol,Alto,3
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Alevian Duo,Baxalta,Alto,3
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + dimeticona 300 mg,mg,Dicetelduo,Lafrancol,Medio,2
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + dimeticona 300 mg,mg,Dicetelduo,Lafrancol,Medio,2
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Alevian Duo,Baxalta,Alto,3
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + dimeticona 300 mg,mg,Dicetelduo,Lafrancol,Medio,2
bromuro de pinaverio y dimeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + dimeticona 300 mg,mg,Dicetelduo,Lafrancol,Medio,2
bromuro de pinaverio y simeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Dispax,Novamed,Medio,2
bromuro de pinaverio y simeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Produo,Procaps,Bajo,1
bromuro de pinaverio y simeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Dispax,Novamed,Medio,2
bromuro de pinaverio y simeticona,Tableta o cápsula,bromuro de pinaverio 100 mg + simeticona 300 mg,mg,Dispax,Novamed,Medio,2
bromuro de rocuronio,Solución o suspensión inyectable,bromuro de rocuronio 50 mg,ml,Rocuronio,Fresenius,Medio,2
bromuro de tiotropio,Solución o suspensión para inhalación,bromuro de tiotropio 120 dosis,mcg,Tiozide,Cipla,Medio,2
bromuro de tiotropio,Polvos para Inhalación,bromuro de tiotropio 18 mcg,mcg,Tiozide,Cipla,Medio,2
bromuro de tiotropio,Polvos para Inhalación,bromuro de tiotropio 18 mcg,mcg,Tiosynt,Faes Farma,Alto,3
bromuro de tiotropio,Solución o suspensión para inhalación,bromuro de tiotropio 120 dosis,mcg,Tiozide,Cipla,Medio,2
bromuro de tiotropio,Polvos para Inhalación,bromuro de tiotropio 18 mcg,mcg,Tiozide,Cipla,Bajo,1
bromuro de tiotropio y olodaterol,Solución o suspensión para inhalación,"bromuro de tiotropio 2,5 mcg + olodaterol 2,5 mcg",dosis,Spioltorespimat,Boehringer,Medio,2
bromuro de tiotropio y olodaterol,Solución o suspensión para inhalación,"bromuro de tiotropio 2,5 mcg + olodaterol 2,5 mcg",dosis,Spioltorespimat,Boehringer,Medio,2
bromuro de umeclidinio y vilanterol,Polvos para Inhalación,bromuro de umeclidinio 55 mcg + vilanterol 22 mcg,dosis,Anoroellipta,Glaxosmithkline,Medio,2
bromuro de umeclidinio y vilanterol,Polvos para Inhalación,bromuro de umeclidinio 55 mcg + vilanterol 22 mcg,dosis,Anoroellipta,Glaxosmithkline,Medio,2
buclizina,Jarabe,"buclizina 0,12 g",ml,Dietrex,Nevox,Bajo,1
buclizina,Tableta o cápsula,buclizina 25 mg,mg,Trianorexil,Quimica Patric,Bajo,1
buclizina,Jarabe,"buclizina 0,1 g",ml,Trianorexil,Quimica Patric,Medio,2
buclizina,Tableta o cápsula,buclizina 25 mg,mg,Dietrexnf,Nevox,Alto,3
buclizina,Jarabe,"buclizina 0,12 g",ml,Proapet Jarabe,Farmaser,Alto,3
buclizina,Jarabe,"buclizina 0,12 g",ml,Dietrex,Nevox,Medio,2
buclizina,Tableta o cápsula,buclizina 25 mg,mg,Dietrexnf,Nevox,Medio,2
budesonida,Solución o suspensión para inhalación,"budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,Medio,2
budesonida,Aerosoles,budesonida 200 mcg + budesonida 200 mcg,dosis,B-Cort,Grunenthal,Medio,2
budesonida,Tableta o cápsula,budesonida 3 mg,mg,Budenofalk,Dr Falk Pharma,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 50 mcg,dosis,Inflabon,Chalver,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 50 mcg,dosis,Inflabon,Chalver,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 200 mcg,dosis,Inflabon,Chalver,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 40 mcg,dosis,Budesynt,Faes Farma,Medio,2
budesonida,Aerosoles,budesonida 2 mg,dosis,Budenofalk,Dr Falk Pharma,Medio,2
budesonida,Solución o suspensión para inhalación,"budesonida 7,5 ml",ml,Timat,Anzg,Medio,2
budesonida,Tableta o cápsula de liberación modificada,budesonida 9 mg,mg,Cortiment Mmx,Ferring,Medio,2
budesonida,Aerosoles,budesonida 50 mcg,dosis,B-Cort,Grunenthal,Medio,2
budesonida,Solución o suspensión para inhalación,"budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,Medio,2
budesonida,Aerosoles,budesonida 200 mcg + budesonida 200 mcg,dosis,B-Cort,Grunenthal,Medio,2
budesonida,Tableta o cápsula,budesonida 3 mg,mg,Budenofalk,Dr Falk Pharma,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 50 mcg,dosis,Inflabon,Chalver,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 200 mcg,dosis,Inflabon,Chalver,Medio,2
budesonida,Solución o suspensión para inhalación,budesonida 40 mcg,dosis,Budesynt,Faes Farma,Medio,2
budesonida,Aerosoles,budesonida 2 mg,dosis,Budenofalk,Dr Falk Pharma,Medio,2
budesonida,Solución o suspensión para inhalación,"budesonida 7,5 ml",ml,Timat,Anzg,Medio,2
budesonida,Tableta o cápsula de liberación modificada,budesonida 9 mg,mg,Cortiment Mmx,Ferring,Medio,2
budesonida,Aerosoles,budesonida 50 mcg,dosis,B-Cort,Grunenthal,Medio,2
budesonida y formoterol,Polvos para Inhalación,"budesonida 0,2 mg + formoterol 0,006 mg",dosis,Budek Plus,Exeltis,Medio,2
budesonida y formoterol,Polvos para Inhalación,"budesonida 0,2 mg + formoterol 0,006 mg",dosis,Budek Plus,Exeltis,Medio,2
bupivacaina,Solución o suspensión inyectable,"bupivacaina 52,77 mg",ml,Bupirop 0.5%,Ropsohn,Medio,2
bupivacaina,Solución o suspensión inyectable,bupivacaina 5 mg,ml,Bupirop 0.5%,Ropsohn,Medio,2
bupivacaina,Solución o suspensión inyectable,"bupivacaina 7,5 mg",mg,"Bupinest 0,75%",Ropsohn,Medio,2
bupivacaina,Solución o suspensión inyectable,bupivacaina 50 mg,ml,Bupivacaina,Biosano,Medio,2
bupivacaina + glucosa,Solución o suspensión inyectable,"glucosa 290,8 mg + bupivacaina 30 mg",ml,Bupinest Pesado,Ropsohn,Medio,2
bupivacaina y dextrosa,Solución o suspensión inyectable,bupivacaina 20 mg + dextrosa 320 mg,ml,Bupirop 0.5%,Ropsohn,Medio,2
bupivacaina y dextrosa,Solución o suspensión inyectable,bupivacaina 20 mg + dextrosa 320 mg,ml,Bupitroy Heavy,Troikaa,Medio,2
bupivacaina y dextrosa y bupivacaina y dextrosa,Solución o suspensión inyectable,linezolid 600 mg,ml,Vozolid,Procaps,Medio,2
bupivacaina y epinefrina,Solución o suspensión inyectable,bupivacaina 50 mg + epinefrina 50 mg,ml,Bupivacaina 0.5 %,Ropsohn,Medio,2
buprenorfina,Parche,buprenorfina 20 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 30 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 40 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 20 mcg/h,mcg/h,Norspan 7,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 10 mcg/h,mcg/h,Norspan 7,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 20 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 30 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 40 mg,mg,Transtec,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 20 mcg/h,mcg/h,Norspan 7,Grunenthal,Medio,2
buprenorfina,Parche,buprenorfina 10 mcg/h,mcg/h,Norspan 7,Grunenthal,Medio,2
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Odranal,Monte Verde,Alto,3
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Wellbutrin,Glaxosmithkline,Medio,2
bupropion,Tableta o cápsula de liberación modificada,bupropion 300 mg,mg,Wellbutrin,Glaxosmithkline,Medio,2
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Buprion,Eurofarma,Bajo,1
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Odranal,Monte Verde,Medio,2
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Wellbutrin,Glaxosmithkline,Alto,3
bupropion,Tableta o cápsula de liberación modificada,bupropion 300 mg,mg,Wellbutrin,Glaxosmithkline,Medio,2
bupropion,Tableta o cápsula de liberación modificada,bupropion 150 mg,mg,Buprion,Eurofarma,Bajo,1
busulfan,Solución o suspensión inyectable,busulfan 60 mg,ml,Alsulfan,Al Pharma,Bajo,1
busulfan,Solución o suspensión inyectable,busulfan 60 mg,ml,Busulfan,Hb Human Bioscience,Alto,3
busulfan,Solución o suspensión inyectable,busulfan 60 mg,ml,Busulfan,Hb Human Bioscience,Medio,2
butenafina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,butenafina 1 g,g,Butemax,Glenmark,Medio,2
butenafina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,butenafina 1 g,g,Butemax,Glenmark,Medio,2
cabazitaxel,Solución o suspensión inyectable,cabazitaxel 60 mg,mg,Jevtana,Sanofi Aventis,Alto,3
cabazitaxel,Solución o suspensión inyectable,cabazitaxel 60 mg,ml,Cabazred,Dr Reddys,Bajo,1
cabazitaxel,Solución o suspensión inyectable,cabazitaxel 60 mg,ml,Zitat,Lkm,Medio,2
cabazitaxel,Solución o suspensión inyectable,cabazitaxel 60 mg,ml,Xitacab,Msn Laboratories Private,Medio,2
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Alactin,Procaps,Medio,2
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Cabertrix,Monte Verde,Alto,3
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Cabergolina,Mk,Bajo,1
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Dostinex,Pfizer,Medio,2
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Alactin,Procaps,Medio,2
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Cabertrix,Monte Verde,Alto,3
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Prolastat,Siegfried,Bajo,1
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Cabergolina,Mk,Medio,2
cabergolina,Tableta o cápsula,"cabergolina 0,5 mg",mg,Dostinex,Pfizer,Medio,2
cabozantinib,Tableta o cápsula,cabozantinib 20 mg,mg,Cabometyx,Ipsen,Medio,2
cabozantinib,Tableta o cápsula,cabozantinib 20 mg,mg,Cabometyx,Ipsen,Medio,2
cabozantinib,Tableta o cápsula,cabozantinib 20 mg,mg,Cabometyx,Ipsen,Medio,2
cafeina,Solución o suspensión inyectable,cafeina 20 mg,ml,Cafnea,Advance Scientific,Bajo,1
cafeina,Solución o suspensión inyectable,cafeina 10 mg,ml,Peyona,Chiesi,Medio,2
cafeina,Solución o suspensión inyectable,cafeina 20 mg,ml,Caf-Clin,Proclin,Alto,3
cafeina,Solución o suspensión inyectable,cafeina 20 mg,ml,Cafnea,Advance Scientific,Bajo,1
cafeina,Solución o suspensión inyectable,cafeina 10 mg,ml,Peyona,Chiesi,Medio,2
cafeina,Solución o suspensión inyectable,cafeina 20 mg,ml,Caf-Clin,Proclin,Medio,2
cafeina,Solución o suspensión inyectable,cafeina 20 mg,ml,Cafeinnova,Humax,Alto,3
cafeina + dipirona + isometepteno,Tableta o cápsula,isometepteno 30 mg + cafeina 30 mg + dipirona 300 mg,mg,Neosaldina,Damuzi,Medio,2
cafeina + dipirona + isometepteno,Tableta o cápsula,isometepteno 30 mg + cafeina 30 mg + dipirona 300 mg,mg,Neosaldina,Damuzi,Medio,2
cafeina y acido acetilsalicílico,Tableta o cápsula,cafeina 65 mg + acido acetilsalicílico 650 mg,mg,Cafiaspirina,Bayer,Medio,2
cafeina y ibuprofeno,Tableta o cápsula,ibuprofeno 400 mg + cafeina 60 mg,mg,Doraliv Migra,High Nutrition,Alto,3
cafeina y ibuprofeno,Tableta o cápsula,cafeina 30 mg + ibuprofeno 200 mg,mg,Calmidol,Sanofi Aventis,Alto,3
cafeina y ibuprofeno,Tableta o cápsula,cafeina 30 mg + ibuprofeno 200 mg,mg,Calmidol,Sanofi Aventis,Medio,2
calamina,Solución o suspensión tópica,calamina 8 g,ml,Caladryl Locion,Grossman,Alto,3
calamina,Solución o suspensión tópica,calamina 8 g,ml,Caladryl Locion,Grossman,Medio,2
calamina y oxido de zinc,Cremas o geles o ungüentos o pomadas o pastas o jaleas,calamina 5 g + oxido de zinc 5 g,g,Procicar Crema,Mega Labs,Medio,2
calamina y oxido de zinc,Cremas o geles o ungüentos o pomadas o pastas o jaleas,calamina 5 g + oxido de zinc 5 g,g,Procicar Crema,Mega Labs,Medio,2
calcifediol,Tableta o cápsula,"calcifediol 0,266 mg",mg,Hidroferol,Faes Farma,Medio,2
calcifediol,Tableta o cápsula,"calcifediol 0,266 mg",mg,Hidroferol,Faes Farma,Medio,2
calcio (diferentes sales en combinacion),Solución o suspensión inyectable,calcio (diferentes sales en combinacion) 400 mg + calcio (diferentes sales en combinacion) 600 mg,ml,Calcio Al 10%,Ryan,Medio,2
calcio (diferentes sales en combinacion),Solución o suspensión inyectable,"calcio (diferentes sales en combinacion) 520 mg + calcio (diferentes sales en combinacion) 355,5 mg",ml,Gluconato De Calcio 10%,Ropsohn,Medio,2
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion) 600 mg + calcio (diferentes sales en combinacion) 400 ui,mg,Caltrate D,Glaxosmithkline,Medio,2
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion),ui,Calcibon D,Farma,Bajo,1
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion),mg,Calcibon Natal,Farma,Alto,3
calcio (diferentes sales en combinacion),Solución o suspensión inyectable,calcio (diferentes sales en combinacion) 400 mg + calcio (diferentes sales en combinacion) 600 mg,ml,Calcio Al 10%,Ryan,Medio,2
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion) 600 mg + calcio (diferentes sales en combinacion) 400 ui,mg,Caltrate D,Glaxosmithkline,Medio,2
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion),ui,Calcibon D,Farma,Alto,3
calcio (diferentes sales en combinacion),Tableta o cápsula,calcio (diferentes sales en combinacion),mg,Calcibon Natal,Farma,Bajo,1
calcio gluconato,Solución o suspensión inyectable,calcio gluconato 940 mg,ml,Gluconato De Calcio,Braun Melsungen,Medio,2
calcio gluconato,Solución o suspensión inyectable,"calcio gluconato 0,95 g",ml,Gluconato De Calcio,Sanderson,Medio,2
calcio gluconato,Solución o suspensión inyectable,calcio gluconato 940 mg,ml,Gluconato De Calcio,Braun Melsungen,Medio,2
calcio + oxido de zinc + vitamina d3,Solución o suspensión oral,"vitamina d3 0,00005 g + carbonato de calcio 15 g + oxido de zinc 0,18666 g",ml,Kidcal,Farma,Medio,2
calcio + oxido de zinc + vitamina d3,Solución o suspensión oral,"vitamina d3 0,00005 g + carbonato de calcio 15 g + oxido de zinc 0,18666 g",ml,Kidcal,Farma,Medio,2
calcio + vitamina d3 + isoflavonas de soya,Tableta o cápsula,isoflavona de soya 25 mg + vitamina d3 300 ui + citrato de calcio 1500 mg,mg,Calcio + Vitamina D3 + Isoflavonas De Soya,Colmed,Medio,2
calcio + vitamina d3 + isoflavonas de soya,Tableta o cápsula,isoflavona de soya 25 mg + citrato de calcio 315 mg + vitamina d3 300 ui,mg,Caprimida,Synthesis,Medio,2
calcio + vitamina d3 + isoflavonas de soya,Tableta o cápsula,isoflavona de soya 25 mg + vitamina d3 300 ui + citrato de calcio 1500 mg,mg,Calcio + Vitamina D3 + Isoflavonas De Soya,Colmed,Medio,2
calcio + vitamina d3 + isoflavonas de soya,Tableta o cápsula,isoflavona de soya 25 mg + citrato de calcio 315 mg + vitamina d3 300 ui,mg,Caprimida,Synthesis,Medio,2
calcio y vitamina d3,Polvo para reconstituir a Solución o suspensión oral,carbonato de calcio 500 mg + vitamina d3 200 ui,g,Biocalcium D,Tecnoquimicas,Medio,2
calcio y vitamina d3,Tableta o cápsula,carbonato de calcio 600 mg + vitamina d3 200 ui,mg,Zivical D,Labquifar,Medio,2
calcio y vitamina d3,Tableta o cápsula,citrato de calcio 1500 mg + vitamina d3 200 ui,mg,Caprimida D,Synthesis,Medio,2
calcio y vitamina d3,Polvo para reconstituir a Solución o suspensión oral,carbonato de calcio 500 mg + vitamina d3 200 ui,g,Biocalcium D,Tecnoquimicas,Medio,2
calcio y vitamina d3,Tableta o cápsula,carbonato de calcio 600 mg + vitamina d3 200 ui,mg,Zivical D,Labquifar,Medio,2
calcio y vitamina d3,Tableta o cápsula,citrato de calcio 1500 mg + vitamina d3 200 ui,mg,Caprimida D,Synthesis,Medio,2
calcipotriol + betametasona,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"calcipotriol 50 mcg + betametasona 0,5 mcg",g,Daivobet,Leo,Medio,2
calcipotriol + betametasona,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"calcipotriol 50 mcg + betametasona 0,5 mcg",g,Daivobet,Leo,Medio,2
calcipotriol y betametasona,Cremas o geles o ungüentos o pomadas o pastas o jaleas,calcipotriol 5 mg + betametasona 50 mg,g,Daivobet Gel,Leo,Medio,2
calcipotriol y betametasona,Cremas o geles o ungüentos o pomadas o pastas o jaleas,calcipotriol 5 mg + betametasona 50 mg,g,Daivobet Gel,Leo,Medio,2
calcitriol,Tableta o cápsula,"calcitriol 0,25 mcg",mcg,Calcitriol,Colmed,Medio,2
calcitriol,Tableta o cápsula,"calcitriol 0,5 mcg",mcg,Calcitriol,Colmed,Medio,2
calcitriol,Tableta o cápsula,"calcitriol 0,25 mcg",mcg,Calcitriol,Colmed,Medio,2
calcitriol,Tableta o cápsula,"calcitriol 0,5 mcg",mcg,Calcitriol,Colmed,Medio,2
canakinumab,Solución o suspensión inyectable,canakinumab 150 mg,ml,Ilaris,Novartis,Medio,2
candesartan,Tableta o cápsula,candesartan 8 mg,mg,Candesartan,Genfar,Bajo,1
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Atacand,Astrazeneca,Bajo,1
candesartan,Tableta o cápsula,candesartan 8 mg,mg,Candeprex,Mega Labs,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Candeprex,Mega Labs,Medio,2
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Minart,Merck,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Minart,Merck,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Candesartan,Genfar,Bajo,1
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Candeprex,Mega Labs,Medio,2
candesartan,Tableta o cápsula,candesartan 32 mg + candesartan 5 mg,mg,Candam,Lafrancol,Medio,2
candesartan,Tableta o cápsula,candesartan 16 mg + candesartan 5 mg,mg,Candam,Lafrancol,Medio,2
candesartan,Tableta o cápsula,candesartan 8 mg,mg,Candesartan,Genfar,Bajo,1
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Atacand,Astrazeneca,Medio,2
candesartan,Tableta o cápsula,candesartan 8 mg,mg,Candeprex,Mega Labs,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Candeprex,Mega Labs,Medio,2
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Minart,Merck,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Minart,Merck,Alto,3
candesartan,Tableta o cápsula,candesartan 16 mg,mg,Candesartan,Genfar,Bajo,1
candesartan,Tableta o cápsula,candesartan 32 mg,mg,Candeprex,Mega Labs,Bajo,1
candesartan,Tableta o cápsula,candesartan 32 mg + candesartan 5 mg,mg,Candam,Lafrancol,Medio,2
candesartan,Tableta o cápsula,candesartan 16 mg + candesartan 5 mg,mg,Candam,Lafrancol,Medio,2
candesartán,Tableta o cápsula,candesartán 16 mg,mg,Candesartan,Tecnoquimicas,Bajo,1
candesartán,Tableta o cápsula,candesartán 8 mg,mg,Candesartan,Tecnoquimicas,Medio,2
candesartán,Tableta o cápsula,candesartán 16 mg,mg,Atacand,Astrazeneca,Alto,3
candesartán,Tableta o cápsula,candesartán 16 mg,mg,Candesartan,Tecnoquimicas,Bajo,1
candesartán,Tableta o cápsula,candesartán 8 mg,mg,Candesartan,Tecnoquimicas,Medio,2
candesartán,Tableta o cápsula,candesartán 16 mg,mg,Atacand,Astrazeneca,Alto,3
candesartán y amlodipino,Tableta o cápsula,candesartán 32 mg + amlodipino 5 mg,mg,Candeprex A,Mega Labs,Medio,2
candesartán y amlodipino,Tableta o cápsula,candesartán 32 mg + amlodipino 5 mg,mg,Candeprex A,Mega Labs,Medio,2
candesartán y hidroclorotiazida,Tableta o cápsula,"candesartán 16 mg + hidroclorotiazida 12,5 mg",mg,Candesartan/Hct,Tecnoquimicas,Medio,2
candesartán y hidroclorotiazida,Tableta o cápsula,"candesartán 16 mg + hidroclorotiazida 12,5 mg",mg,Candesartan/Hct,Tecnoquimicas,Medio,2
cannabidiol,Solución o suspensión oral,cannabidiol 10 g,ml,Neviot,Procaps,Medio,2
cannabidiol,Tableta o cápsula,cannabidiol 100 mg,mg,Neviot,Procaps,Medio,2
cannabidiol,Tableta o cápsula,cannabidiol,mg,Neviot,Procaps,Medio,2
cannabidiol,Solución o suspensión oral,cannabidiol 10 g,ml,Neviot,Procaps,Medio,2
cannabidiol,Tableta o cápsula,cannabidiol 100 mg,mg,Neviot,Procaps,Medio,2
caolín y pectina,Solución o suspensión oral,pectina 1 g + caolin 20 g,ml,Kaoxitura,Gerco,Alto,3
caolín y pectina,Solución o suspensión oral,pectina 1 g + caolin 20 g,ml,Kaoxitura,Gerco,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capec,Hetero Labs,Alto,3
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capecitabina,Sandoz,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capegard 500,Cipla,Bajo,1
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Corretal,Eurofarma,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capec,Hetero Labs,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Caxeta 500,Sun Pharmaceutical,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capecitabina,Sandoz,Bajo,1
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capiibine,Dr Reddys,Alto,3
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Capegard 500,Cipla,Medio,2
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Corretal,Eurofarma,Bajo,1
capecitabina,Tableta o cápsula,capecitabina 500 mg,mg,Xeloda,Roche,Alto,3
caplacizumab,Polvo para reconstituir a Solución o suspensión inyectable,caplacizumab 10 mg,mg,Cablivi,Sanofi Aventis,Medio,2
capsaicina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"capsaicina 0,075 g",g,Casacine,Idefar,Medio,2
capsaicina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"capsaicina 0,025 g",g,Casacine,Idefar,Medio,2
captopril,Tableta o cápsula,captopril 25 mg,mg,Captopril,Tecnoquimicas,Alto,3
captopril,Tableta o cápsula,captopril 50 mg,mg,Captopril,Tecnoquimicas,Alto,3
captopril,Tableta o cápsula,captopril 50 mg,mg,Captopril,Genfar,Bajo,1
captopril,Tableta o cápsula,captopril 25 mg,mg,Captopril,Bussié,Bajo,1
captopril,Tableta o cápsula,captopril 50 mg,mg,Captopril,Bussié,Medio,2
captopril,Tableta o cápsula,captopril 50 mg,mg,Captopril,Lafrancol,Bajo,1
captopril,Tableta o cápsula,captopril 50 mg,mg,Captopril,Pentacoop,Medio,2
