principioactivo,concentracion,formafarmaceutica
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,500 MG +  267 MG + 160 MG / 100ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,500 MG + 213 MG + 325 MG / 10 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,250 MG + 133 5 MG + 80 MG,TABLETA MASTICABLE
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,250 MG + 1065 5 MG + 187 5 MG,TABLETA MASTICABLE
ALGINATO DE  SODIO + SIMETICONA AL 30 %,2 5 G + 1 G /100 ML,SUSPENSIÓN ORAL
ALCOHOL  ETÍLICO + GLUCONATO DE CLORHEXIDINA EQUIVALENTE A CLORHEXIDINA,61G + 1 G/ 100 ML,SOLUCIÓN TÓPICA
ALCOHOL  ETÍLICO + GLUCONATO DE CLORHEXIDINA EQUIVALENTE A CLORHEXIDINA,70 G  + 2 G / 100 ML,SOLUCIÓN TÓPICA
ALCOHOL ISOPROPÍLICO + IODO POVIDONA,72 G + 7 5 G / 100 ML,LOCIÓN
AMBROXOL,15MG,GOMA EN FORMA DE PASTILLA
AMBROXOL,30 MG,CÁPSULAS DE GELATINA BLANDA
AMBROXOL,75 MG,CÁPSULA DURA DE LIBERACIÓN PROLONGADA
AMBROXOL,300 MG / 100 ML,JARABE
AMBROXOL,600 MG / 100 ML,JARABE
AMBROXOL,7 5 MG / ML,SOLUCIÓN ORAL
AMBROXOL,20 MG,TABLETA ORODIPERSABLE
AMBROXOL,30 MG,TABLETA
AMBROXOL,15 MG / SOBRE,GRANULADO O POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
AMBROXOL,0 75 G / 100 ML,SOLUCIÓN PARA INHALACIÓN
AMLEXANOX,0 05 G,TABLETA
AMILMETACRESOL +  ALCOHOL 2 4 DICLOROBENCÍLICO,0 6 MG + 1 2 MG /TABLETAS DE DISOLUCIÓN BUCAL,TABLETAS DE DISOLUCIÓN BUCAL
ANTOCIANIDINAS,28 8 MG,CÁPSULA
ANTOCIANIDINAS,60 MG,CÁPSULA DURA
AMILMETACRESOL + ALCOHOL 2 4- DICLOROBENCÍLICO,0 6 MG + 1 2 MG,TABLETA
AMOROLFINA,2 5 G / 100 G,CREMA TÓPICA
AMOROLFINA,5G / 100 G,CREMA TÓPICA
AMOROLFINA,5 G / 100 ML,LACA / SOLUCIÓN TÓPICA
ATAPULGUITA,750 MG,TABLETA
AZUFRE + ÓXIDO DE ZINC,3 2 G + 5 4 G / 100ML,SUSPENSIÓN TÓPICA
AZUFRE PRECIPITADO + ÁCIDO SALICÍLICO,10 G + 3 G  / 100 G,PASTA DE JABÓN
AZUFRE + BORAX,2 G + 0 4 G / 100 G,PASTA DE JABÓN
AZUFRE +  ÁCIDO SALICÍLICO + ÓXIDO DE ZINC + RESORCINA,1 G + 1 G + 2 G + 0 2 G / 100 G,POMADA
AZUFRE + PEROXIDO DE BENZOILO,10 G + 10 G / 100 ML,CREMA TÓPICA
AZUFRE + CARBONATO DE POTASIO,20 G + 10 G / 100 G,UNGÜENTO TÓPICO
AZUFRE + OXIDO DE ZINC + RESORCINOL + ACEITE ESENCIAL DE EUCALIPTO,5 G + 10 G + 2 G + 1 5 G / 100 G,UNGÜENTO TÓPICO
AZUFRE,10 G / 100 G,UNGÜENTO TÓPICO
AZUFRE,3 G / 100 G,PASTA
AZUFRE + BORAX + CREOLINA,0 2 G + 0 2 G + 0 5 G /100 G,PASTA DE JABÓN
AZUFRE + EXTRACTO VEGETAL  HIERBAMORA QUINA ROMERO Y EUCALIPTO + PETROLEO + DERIVADOS DE ALQUITRAN DE HULLA + BORATO DE SODIO,2 G + 21 5 G + 1 4 G + 0 1 G + 1 4 G / 85 G,JABÓN LÍQUIDO
AZUFRE + RESORCINOL,1 G + 2 G / 90 G,JABÓN LÍQUIDO
AZUFRE + BENZOATO DE BENCILO,0 5 G + 0 4 G / 100 G,PASTA DE JABÓN
AZUFRE + RESORCINOL + TRICLOSAN,8 G + 2 G + 0 1 G / 100 G,CREMA TÓPICA
BACILOS LÁCTICO ÁCIDOFILOS,1000 MILLONES/100ML,SOLUCIÓN ORAL
BACILLUS CLAUSII,ESPORAS DE BACILLUS CLAUSII 2000 MILLONES,CÁPSULAS
BACILLUS CLAUSII,ESPORAS DE BACILLUS CLAUSII 2000 MILLONES/5ML,SOLUCIÓN ORAL
BACILLUS CLAUSII,ESPORAS DE BACILLUS CLAUSII 400 MILLONES/5ML,SUSPENSION ORAL
BACILLUS CLAUSII,ESPORAS DE BACILLUS CLAUSII 4000 MILLONES DE UNIDADES DE ESPORA / 5ML,NO REPORTA
BENCIDAMINA CLORHIDRATO,0 15G /100ML,SOLUCIÓN BUCOFARÍNGEA
BENCIDAMINA CLORHIDRATO,30 MG / 100ML,SOLUCIÓN BUCOFARÍNGEA
BENCIDAMINA CLORHIDRATO,0 15 G / 100 ML,JABÓN LÍQUIDO
BENCIDAMINA CLORHIDRATO,100 MG / 100 ML,SOLUCIÓN TÓPICA
BENCIDAMINA CLORHIDRATO,0 15 G /100ML,SOLUCIÓN TÓPICA
BENCIDAMINA CLORHIDRATO,0 3 G  /100ML,SOLUCIÓN TÓPICA BUCAL
BENCIDAMINA CLORHIDRATO,3 MG,TABLETA MASTICABLE
BENCIDAMINA CLORHIDRATO,0 5 G / 100 G,CREMA VAGINAL
BENCIDAMINA CLORHIDRATO,0 498 G / 9 4 G,POLVO PARA USO TÓPICO
BENCIDAMINA CLORHIDRATO + CETILPIRIDINIO CLORURO,0 3 G + 0 2 G / 100 ML,SOLUCIÓN ORAL / TABLETA MASTICABLE
BENCIDAMINA CLORHIDRATO + CETILPIRIDINIO CLORURO,0 15 G + 0  05G /100 ML,SOLUCIÓN ORAL / TABLETA MASTICABLE
BENCIDAMINA CLORHIDRATO + CETILPIRIDINIO CLORURO,3 MG + 2 MG,SOLUCIÓN ORAL / TABLETA MASTICABLE
BENCIDAMINA CLORHIDRATO + CETILPIRIDINIO CLORURO,3 MG + 1 MG,GRANULADO ORAL
BENCIL BENZOATO  TÓPICO,25 G/ 100 ML,LOCIÓN
BENCIL BENZOATO  TÓPICO,30G / 100 ML,LOCIÓN
BENOXINATO CLORHIDRATO + CETILPIRIDINIO,0 2 MG  + 1 0 MG,TABLETA BUCAL
BENZALCONIO CLORURO,0 2 G /100 ML,SOLUCIÓN
BENZALCONIO CLORURO,0 13G /100 ML,LOCIÓN
BENZALCONIO CLORURO,20 MG,TABLETA EFERVECENTE
BENZALCONIO CLORURO + BENZOCAÍNA,0 1 G + 3 G / 100 ML,SOLUCIÓN TÓPICA
BENZOCAÍNA,20 MG / ML,SOLUCIÓN ÓTICA
BENZOCAÍNA,10 MG,TABLETA MASTICABLE
BENZOCAÍNA,7 5 / 100 G,GEL
BENZOCAÍNA + ANTIPIRINA,10 MG + 50 MG / ML,SOLUCIÓN ÓTICA
BENZOCAÍNA + CLORURO DE CETILPIRIDINIO,10  MG + 1 4 MG,TABLETAS MASTICABLE
BENZOCAÍNA + DECALINIO CLORURO,15 MG + 0 25 MG,TABLETA
BENZOCAÍNA + DIHIDROCLORURO DE CLORHEXIDINA,2 MG + 5 MG,TABLETA MASTICABLE
BENZOCAÍNA + MENTOL,5 G + 0 5 G / 100 G,GEL TÓPICO
BENZOCAÍNA + CLORURO DE DECUALINO,10 MG + 0 2 MG,TABLETA BUCAL
BENZOCAÍNA + EUGENOL,7 5 G + 1 G / 100 G,GEL TÓPICO
BENZOCAÍNA + CLORHEXIDINA GLUCONATO,2 G + 2 G / 100 ML,SOLUCIÓN TÓPICA
BENZOFENONA + OCTIL DIMETIL PABA,3 G + 7 G / 100 G,CREMA TÓPICA
BETA CAROTENO + VITAMINA C + VITAMINA E,6 MG + 50 MG + 10 UI,TABLETA
BETA CAROTENO + CALORIAS + PROTEINA + CARBOHIDRATO + GRASA + VITAMINA A + VITAMINA D + VITAMINA E + VITAMINA K + VITAMINA B1 + VITAMINA B2 + VITAMINA B6 + ACIDO FOLICO + ACIDO PANTOTENICO + VITAMINA B12 + BIOTINA + TAURINA + L-CARNITINA + INOSITOL + CALCIO  + FOSFORO + MAGNESIO + ZINC + HIERRO + COBRE + MANGANESO + YODO + SODIO + POTASIO + CROMO + CROMO + SELENIO + COLINA + NIACINA,0 1 MG + 100 U + 3 G + 12 8 G + 4 2 G + 240 IU + 56 UI + 2 8 IU + 3 AEG + 0 2 MG + 0 2 MG + 0 2 MG + 40 AEG + 1 MG + 0 6 AEG + 30 AEG + 8 MG + 4 MG + 8 MG + 100 MG + 80 MG + 20 MG + 1 5 MG + 1 4 MG + 0 1 MG + 0 2 MG + 12 AEG + 46 MG + 132 MG + 108 MG + 3 AEG +  3 AEG + 3 AEG + 30 MG + 2 MG / 100 ML,SUSPENSIÓN ORAL
BETA CAROTENO,10000 IU,CÁPSULA BLANDA
BETA CAROTENO + CALORIAS + PROTEINA + CARBOHIDRATO + GRASA + VITAMINA A + VITAMINA D + VITAMINA E + VITAMINA K + VITAMINA C + VITAMINA B1 + RIBOFLAVINA B2 + NIACINA + VITAMINA B6 + ACIDO FOLICO + ACIDO PANTOTENICO + VITAMINA B12 + BIOTINA + COLINA + TAURINA + CALCIO + FOSFORO + MAGNESIO + ZINC + HIERRO + HIERRO + MANGANESO + YODO + SODIO + POTASIO + CLORURO + CROMO + MOLIBDENO + SELENIO,0 8 MG + 100 QS + 3 9 G + 20 8 G + 0 06 G + 358 3 UI + 15 9 UI + 1 6 UI + 2 8 AEG + 7 9 MG + 0 1 MG + 0 1 MG + 1 1 MG + 0 2 MG + 30 7 AEG + 0 8 MG + 0 4 AEG + 23 AEG + 26 AEG + 4 6 MG + 50 9 MG + 101 MG + 15 3 MG + 0 8 MG + 0 6 MG + 0 08 MG + 0 1 MG + 5 8 AEG + 30 MG + 30 MG + 33 MG + 2 4 AEG + 6 7 AEG + 2 4 AEG,SOLUCIÓN ORAL
BICARBONATO DE SODIO,1 415 G / 2 7G,GRANULADO EFERVESCENTE
"BICARBONATO DE
SODIO + ÁCIDO ALGÍNICO",70 MG + 200MG,TABLETA MASTICABLE
"BICARBONATO DE
SODIO + CAFEÍNA ANHIDRA",2 83G + 0 065G / SOBRE,GRÁNULOS EFERVESCENTES
BICARBONATO DE SODIO + SIMETICONA,2 83 G + 100 MG / 6 G,GRÁNULOS EFERVESCENTES
"BILIS DE BUEY + EXTRACTO DE BOLDO + 
EXTRACTO DE RUIBARDO",0 125G + 5 0G + 2 0G,JARABE
BILIS DE BUEY + SULFATO DE SODIO + EXTRACTO FLUIDO DE CASCARA SAGRADA + EXTRACTO FLUIDO DE BOLDO + TINTURA DE RUIBARBO,0 125 G + 2 5 G + 3 33 ML + 2 5 ML + 2 5 ML / 100 ML,JARABE
BILIS DE BUEY EXTRACTO + EXTRACTO FLUIDO DE BOLDO 20 % + EXTRACTO DE FLUIDO DE CASCARA SAGRADA 20 % + EXTRACTO FLUIDO DE RUIBARBO 20 %,9 ML + 10 ML +  5 ML + 3 ML / 100ML,JARABE
BILIS DE BUEY EXTRACTO + SIMETICONA + HIDROLASA + PANCREATINA,25 MG + 40 MG + 50 MG + 175 MG,GRAGEA
BILIS DE BUEY EXTRACTO  COLEATO DE SODIO  + FIBRA DE CELULOSA + FIBRA DE MANZANA  + GOMA DE ACACIA + FIBRA DE CÍTRICOS + FIBRA DE AVENA,165 MG + 165 MG + 149 8 MG + 114 2 MG + 40 MG  + 20 MG,TABLETA
BILIS DE BUEY + PANCREATINA + SIMETICONA,30 MG +  175 MG + 125 MG,TABLETA
BILIS DE BUEY + CASCARA SAGRADA + BOLDO,1 G + 30 G + 15 ML  / 100 ML,JARABE
BILIS DE BUEY + CASCARA SAGRADA + BOLDO,2 ML + 4 ML + 2 ML / 100 ML,SOLICIÓN ORAL
BILIS DE BUEY + CONCENTRADO DE ENZIMAS DE ASPEGILUS ORYAE CONTENIENDO  CELULASA + PROTEASA + AMILASA + PANCREATINA + PROTEASA + AMILASA,8 5 U + 4 U + 500 U + 8 5 U + 135 U + 7 6 U,GRAGEA
BILIS DE BUEY + CARBON ACTIVADO,750 MG + 133 MG,CÁPSULA DURA
BILIS DE BUEY +  CASCARA SAGRADA  + RUIBARBO,25 G + 15 ML + 10 ML / 100 ML,SOLUCIÓN ORAL
BILIS DE BUEY +  CASCARA SAGRADA  + RUIBARBO,0 6 G + 0 2 MG + 0 05 MG / 100 ML,JARABE
BILIS DE BUEY +  CASCARA SAGRADA  + RUIBARBO,30 MG + 200 MG + 180 MG,TABLETA CUBIERTA CON PELICULA
BILIS DE BUEY + SULFATO DE SODIO + EXTRACTO FLUIDO DE CASCARA SAGRADA + TINTURA DE RUIBARBO,0 1 G + 2 5 G + 2 5 ML + 0 3 ML / 100 ML,SOLUCIÓN ORAL
BILIS DE BUEY +  CASCARA SAGRADA,60 MG + 20 MG,TABLETA
BILIS DE BUEY +  BOLDO  + RUIBARBO,0 1 G + 5 G + 2 G / 100 ML,JARABE
BIFONAZOL,1 G / 100 ML,LOCIÓN
BIFONAZOL,1G / 100 G,CREMA
BIFONAZOL,1G / 100 ML,GEL
BISACODILO,5 MG,GRAGEA / TABLETA RECUBIERTA
BISACODILO,10 MG,SUPOSITORIO
BROMHEXINA CLORHIDRATO,0 08 G / 100  ML,SOLUCIÓN ORAL
BROMHEXINA CLORHIDRATO,0 05 G /100 ML,SOLUCIÓN ORAL
BROMHEXINA CLORHIDRATO,4 MG,TABLETA ORODISPERSABLE
BROMHEXINA CLORHIDRATO,4 MG,TABLETA MASTICABLE
BROMHEXINA CLORHIDRATO,4 MG,LÁMINA
BROMHEXINA CLORHIDRATO,4 MG,TABLETA
BROMHEXINA CLORHIDRATO,8 MG,TABLETA
BROMHEXINA CLORHIDRATO,8 MG,CÁPSULA BLANDA
BROMHEXINA CLORHIDRATO,80 MG / 100ML,JARABE
BROMHEXINA CLORHIDRATO,40 MG /100 ML,JARABE
BROMHEXINA CLORHIDRATO,140 G / 100 ML,JARABE
BROMHEXINA CLORHIDRATO,160 MG / 100 ML,JARABE
BROMHEXINA CLORHIDRATO + GUAYACOLATO DE GLICERILO  GUAFENESINA,0 04 G + 1 G/ 100 ML,JARABE
BROMHEXINA CLORHIDRATO + GUAYACOLATO DE GLICERILO  GUAFENESINA,0 04 G + 2 G /100 ML,JARABE
BROMHEXINA CLORHIDRATO + GUAYACOLATO DE GLICERILO  GUAFENESINA,0 08 G + 0 04 G /100ML,JARABE
BROMHEXINA CLORHIDRATO + GUAYACOLATO DE GLICERILO  GUAFENESINA,0 08 G + 1 2 G/100 ML,JARABE
BROMHEXINA CLORHIDRATO + GUAYACOLATO DE GLICERILO  GUAFENESINA,0 08 G + 2 G/ 100 ML,JARABE
N-BUTILBROMURO DE HIOSCINA,10 MG,TABLETA
N-BUTILBROMURO DE HIOSCINA + IBUPROFENO,20 MG + 400 MG,CÁPSULA BLANDA
N-BUTILBROMURA DE HIOSCINA + DEXIBUPROFENO,20 MG + 200 MG,TABLETA
BUTOXIDO DE PIPERONILO + PERMETRINA,4 G + 1 G / 100 ML,SUSPENSIÓN TÓPICA / LOCIÓN TÓPICA
CALCIO LACTOBIONATO + GLUCOBIONATO DE CALCIO,5 9 % + 25 75 %,JARABE
CALCIO + VITAMINA D3 + MAGNESIO,600MG + 200U I + 150MG,TABLETA RECUBIERTA
CALCIO + VITAMINA D3 + MAGNESIO,200 MG + 400 UI + 50 MG,TABLETA RECUBIERTA
CALCIO + VITAMINA D3 + MAGNESIO  + ZINC + MANGANESO + COBRE,600 MG + 400 UI + 50 MG + 7 5 MG + 1 8 MG + 0 5 MG,TABLETA
CALCIO + VITAMINA D3 + MAGNESIO  + ZINC + MANGANESO + COBRE,600 MG + 400 UI + 40 MG + 7 5 MG + 1 8 MG + 1 MG,TABLETA
CALCIO + VITAMINA D3 + MAGNESIO  + ZINC + MANGANESO + COBRE,250MG + 200UI + 44MG + 7 5MG + 1 8MG + 1MG,TABLETA
CASANTRANOL,90MG,TABLETA
CARBOCISTEINA,7 5G / 100ML,JARABE
CARBOCISTEINA,2G / 100ML,JARABE
CARBOCISTEINA,5G / 100ML,JARABE
CARBOCISTEINA,5 G / 100 ML,SUSPENSION ORAL
CARBOCISTEINA,2 7G,POLVO PARA RECONSTITUIR
CARBONATO DE CALCIO  ANTIÁCIDO,400 MG,TABLETA
CARBONATO DE CALCIO  ANTIÁCIDO,200 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,400 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,500 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,550 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,750 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,850 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,1000 MG,TABLETA MASTICABLE
CARBONATO DE CALCIO  ANTIÁCIDO,800 MG,TABLETA EFERVESCENTE
CARBONATO DE CALCIO  ANTIÁCIDO,1 5 G / 100 ML,SUSPENSIÓN ORAL
CARBONATO DE CALCIO + CARBÓN ACTIVADO,250 MG + 200 MG,TABLETA
CARBONATO DE CALCIO + LACTOGLUCONATO DE CALCIO,0 15 G + 3 405 G,NO REPORTA
CARBONATO DE CALCIO + GLUCONOLACTANO  DE CALCIO,0 3 G + 2 940 G,TABLETA
CARBONATO DE CALCIO + VITAMINA D3,750 MG + 100 U I,CÁPSULA BLANDA / TABLETA
CARBONATO DE CALCIO + VITAMINA D4,600 MG + 200 U I,CÁPSULA BLANDA / TABLETA
CARBONATO DE CALCIO + VITAMINA D5,600 MG + 400 U I,TABLETA MASTICABLE / TABLETA EFERVESCENTE
CARBONATO DE CALCIO + VITAMINA D3 + ÓXIDO DE ZINC,300MG + 1000UI+7 5MG / 5 ML,SUSPENSIÓN ORAL
CARBONATO DE SODIO + CLORURO DE SODIO + GLICERINA,0 06 G + 0 009 G + 0 3 G / ML,SOLUCIÓN OTICA
CARBONATO DE CALCIO EQUIVALENTES A CALCIO ELEMENTAL + VITAMINA D3 + ISOFLAVONAS DE SOYA EQUIVALENTES A ISOFLAVONAS DE SOYA EQUIVALENTES A ISOFLAVONAS ACTIVAS,1 668 1 MG EQUIVALENTES A 600MG + 6 2 MG  EQUIVALENTES A 400 UI + 210 MG EQUIVALENTES A 80 MG / SOBRE,POLVO EFERVESCENTE PARA ADMINISTRACIÓN ORAL
CARBONATO DE CALCIO + CARBONATO DE MAGNESIO + ÓXIDO DE ZINC + SULFATO DE MAGNESIO + TRICLORURO DE CROMO + MOLIBDATO DE POTASIO + SELENIO DE SODIO,321  530 MG + 281 790 MG + 9 370 MG + 3 850 MG + 0 27 MG + 0 10 MG + 0 04 MG + 0 05 MG,TABLETA
CARBONATO DE CALCIO + VITAMINA D3 + ÓXIDO DE MAGNESIO + ÓXIDO DE ZINC + SULFATO DE MANGANESO + ÓXIDO CÚPRICO,600 MG + 400 UI + 40 MG + 7 5MG + 1 8 MG + 1 MG,TABLETA
CARBONATO DE CALCIO + VITAMINA D3 CRISTALINA + ÓXIDO DE ZINC + GLUCONATO DE MAGNESIO + FOSFATO DE POTASIO DIBÁSICO,300 MG + 400 UI + 7 5 MG + 50 MG  + 70 MG / CADA 5ML,SUSPENSIÓN ORAL
CARBONATO DE CALCIO EQUIVALENTE A CALCIO ELEMENTAL + TETRABORATO DE SODIO EQUIVALENTES A BORO + SULFATO CÚPRICO PENTAHIDRATADO EQUIVALENTE A COBRE +  CARBONATO DE MAGNESIO EQUIVALENTES A  MAGNESIO + SULFATO DE MANGANESO EQUIVALENTES A MANGANESO  CITRATO DE ZINC TRIHIDRATO EQUIVALENTES A ZINC +VITAMINA D3,1 684 85 MG EQUIVALENTE A 600MG + 2 75 MG EQUIVALENTES A 250 MCG + 4 322 MG EQUIVALENTE A 1 MG + 141 54 EQUIVALENTES A 40 MG+ 6 09 MG EQUIVALENTES A 1 8 MG + 7 5 MG DE ZINC+ 6 MG EQUIVALENTES 400 U I/ SOBRE,POLVO EFERVESCENTE PARA ADMINISTRACIÓN ORAL
CARBOXICISTEINA,7 5 G / 100 ML,JARABE
CARBOXICISTEINA,2 G / 100 ML,JARABE
CARBOXICISTEINA,5 G / 100 ML,JARABE
CARBOXICISTEINA,2 7 G,POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
CARBOXICISTEINA,5 G /  100 ML,SUSPENSIÓN ORAL
CARBOXICISTEINA  CARBOXIMETILCISTINA  + GUAYACOLATO DE GLICERILO,3 G + 2 G / 100 ML,JARABE
CARBOXICISTEINA  CARBOXIMETILCISTINA  + GUAYACOLATO DE GLICERILO,2 G + 2 G / 100 ML,JARABE
CARBOXICISTEINA  CARBOXIMETILCISTINA  + GUAYACOLATO DE GLICERILO,3 % + 2 %,JARABE
CARBOXIMETILCISTINA,0 02,JARABE
CARBOXIMETILCISTINA,0 03,JARABE
CARBOXIMETILCISTINA,0 05,JARABE
CARBOXIMETILCELULOSA SÓDICA,5MG / ML,SOLUCIÓN OFTÁLMICA
CARBOXIMETILCELULOSA SÓDICA,10MG / ML,SOLUCIÓN OFTÁLMICA
CARBOXIMETILCELULOSA SÓDICA  VISCOSIDAD BAJA 7LFPH  + GLICERINA + HIALURONATO DE SODIO  PROTEGIDO MW 2 0 - 2 6 MDA,5MG + 9MG+ 1MG /ML,SOLUCIÓN OFTÁLMICA
N-ACETILCISTEÍNA,200 MG / 3 G,GRÁNULOS PARA ADMINISTRACIÓN ORAL
N-ACETILCISTEÍNA,200 MG / 5 G,GRÁNULOS PARA ADMINISTRACIÓN ORAL
N-ACETILCISTEÍNA,100 MG / 5 G,GRÁNULOS PARA ADMINISTRACIÓN ORAL
N-ACETILCISTEÍNA,4 G / 100 G,GRÁNULOS PARA ADMINISTRACIÓN ORAL
N-ACETILCISTEÍNA,600 MG *,GRÁNULOS  POLVO EFERVESCENTE
N-ACETILCISTEÍNA,2 G / 100 ML,JARABE
N-ACETILCISTEÍNA,4 G / 100 ML,JARABE
N-ACETILCISTEÍNA,100 MG,TABLETA EFERVESCENTE
N-ACETILCISTEÍNA,200 MG,TABLETA EFERVESCENTE
N-ACETILCISTEÍNA,100MG / ML,SOLUCIÓN NASAL
N- ACETILCISTEÍNA + DEXTROMETORFANO BROMHIDRATO,2 G + 0 3 G / 100 ML,NO REPORTA
N-ACETILCISTEÍNA  + GUAFENESINA  GUAYACOLATO DE GLICERILO,2 G+ 2 G / 100ML,JARABE
N-ACETILCISTEÍNA  + GUAFENESINA  GUAYACOLATO DE GLICERILO,2G + 3 G / 100ML,JARABE
CETILPIRIDINO,0 5 G / 100 ML,SOLUCIÓN BUCAL
CETRIMONIO BROMURO  HEXADECILTRIMETILAMONIO BROMURO  + LIDOCAÍNA,2MG  + 1MG,TABLETA BUCAL
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,10 MG,CÁPSULA BLANDA
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,10 MG,CÁPSULA BLANDA DE GELATINA MASTICABLE
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,100 MG / 100 ML,JARABE
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,1 MG / ML,SOLUCIÓN ORAL
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,10 MG / ML,SOLUCIÓN ORAL
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,10 MG,TABLETA
CETIRIZINA CLORHIDRATO  DICLORHIDRATO,10 MG,TABLETA MASTICABLE
CETIRIZINA  + FENILEFRINA CLORHIDRATO + ACETAMINOFÉN,5 MG + 10 MG + 500 MG,TABLETA
CETIRIZINA  + FENILEFRINA CLORHIDRATO + ACETAMINOFÉN,33 3MG + 133 3MG + 3 33G /100ML,JARABE
CETIRIZINA DICLORHIDRATO + FENILEFRINA CLORHIDRATO + ACETAMINOFÉN,10 0MG + 5 0MG + 500 MG,CÁPSULA DURA
CETIRIZINA + FENILEFRINA CLORHIDRATO + IBUPROFENO,3 33 MG + 10 MG + 200 MG,CÁPSULA
CETIRIZINA + FENILEFRINA CLORHIDRATO + IBUPROFENO,5MG + 10MG + 200MG,CÁPSULA
CETIRIZINA + FENILEFRINA CLORHIDRATO + IBUPROFENO,5MG + 20MG + 200MG,CÁPSULA
CETIRIZINA + FENILEFRINA CLORHIDRATO + IBUPROFENO,5MG + 60MG + 400MG,CÁPSULA
CETRIMONIO BROMURO  HEXADECILTRIMETILAMONIO BROMURO  + LIDOCAÍNA,2MG  + 1MG,TABLETA
CETRIMIDA  BROMURO DE CETIL TRIMETILAMONIO   + ALCOHOL ISOPROPILICO,0 5 G +70 G /100ML,LOCIÓN TÓPICA
CIPERMETRINA,0 2G / 100ML,EMULSION  CHAMPÚ
CITRATO DE CALCIO TETRAHIDRATADO EQUIVALENTE  A CALCIO ELEMENTAL + ISOFLAVONA DE SOYA + VITAMINA D3,315G + 25MG +  300UI,TABLETA RECUBIERTA
CITRATO DE CALCIO TETRAHIDRATADO POLVO  + VITAMINA D3 + ÁCIDO FÓLICO + FUMARATO FERROSO,950MG + 400 IU + 0 4 MG + 18MG,TABLETA RECUBIERTA
CLOBUTINOL CLORHIDRATO,0 250 G / 100 ML,JARABE
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 04 G / 100 ML,SOLUCIÓN BUCAL
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 12 G / 100 ML,SOLUCIÓN BUCAL
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 2 G /100 ML,SOLUCIÓN BUCAL
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 35 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 51 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,2 3  G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,2 5 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,4 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,10 65 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,15 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,4 MG,TABLETA MASTICABLE
CLORHEXIDINA  GLUCONATO / DIGLUCONATO,0 2 G / 100 G,GEL
CLORHEXIDINA GLUCONATO + ALCOHOL,0 07 / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA GLUCONATO + ALCOHOL,0 08 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA GLUCONATO + ALCOHOL,2 G / 100 ML,SOLUCIÓN TÓPICA
CLORHEXIDINA GLUCONATO + ALCOHOL ISOPROPÍLICO,4 G + 70 G / 100 ML,SOLUCIÓN TÓPICA
CLORURO DE SODIO,50 G  / 100 G,POLVO PARA RECONSTIUIR PARA ADMINISTRACIÓN ORAL
CLORURO DE SODIO,9 MG / ML,GOTAS   SOLUCIÓN NASAL
CLORURO DE SODIO + CITRATO DE POTASIO + GLUCONATO DE ZINC + GLUCOSA MONOHIDRATO,176 8 MG + 108 2 MG + 2 1 MG + 1 780 G  EQUIVALENTE A 1 618 GLUCOSA ANHIDRA,SOLUCIÓN ORAL
